ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-02-22,-0.0017992966335605431,-0.3748565561621145,0.38219574668417544,-0.0017992966335605431,-0.0017992966335605431,0.293157860634811,0.293157860634811,0.293157860634811,0.2524651228136939,0.2524651228136939,0.2524651228136939,0.04069273782111732,0.04069273782111732,0.04069273782111732,0.0,0.0,0.0,-0.002326774585302569
2021-02-23,-0.0025943587782008976,-0.3983219605615888,0.3881704748557388,-0.0025943587782008976,-0.0025943587782008976,-0.6308698785330618,-0.6308698785330618,-0.6308698785330618,-0.6765280658683419,-0.6765280658683419,-0.6765280658683419,0.04565818733528004,0.04565818733528004,0.04565818733528004,0.0,0.0,0.0,-0.0009576559709261148
2021-02-24,-0.0033894209228412936,-0.36608813024977294,0.3599011539060611,-0.0033894209228412936,-0.0033894209228412936,0.3117923493878711,0.3117923493878711,0.3117923493878711,0.2521519584280981,0.2521519584280981,0.2521519584280981,0.059640390959773415,0.059640390959773415,0.059640390959773415,0.0,0.0,0.0,-0.004446216435438387
2021-02-25,-0.00418448306748169,-0.39013794908343813,0.3616438928811484,-0.00418448306748169,-0.00418448306748169,0.03644853345806098,0.03644853345806098,0.03644853345806098,-0.04598999999882311,-0.04598999999882311,-0.04598999999882311,0.08243853345688412,0.08243853345688412,0.08243853345688412,0.0,0.0,0.0,-0.004337001338571485
2021-02-26,-0.004979545212122044,-0.3941618057219233,0.36662411080908897,-0.004979545212122044,-0.004979545212122044,-0.2226463842509019,-0.2226463842509019,-0.2226463842509019,-0.3361936169235973,-0.3361936169235973,-0.3361936169235973,0.11354723267269551,0.11354723267269551,0.11354723267269551,0.0,0.0,0.0,-0.003870867475429181
2021-02-27,-0.00577460735676244,-0.39174842948113925,0.38926851286769176,-0.00577460735676244,-0.00577460735676244,0.05967904243947514,0.05967904243947514,0.05967904243947514,-0.09248954144539434,-0.09248954144539434,-0.09248954144539434,0.15216858388486942,0.15216858388486942,0.15216858388486942,0.0,0.0,0.0,-0.006119230394277971
2021-02-28,-0.006569669501402878,-0.4009335948177857,0.3493764615835793,-0.006569669501402878,-0.006569669501402878,0.843817476808814,0.843817476808814,0.843817476808814,0.6465841429926453,0.6465841429926453,0.6465841429926453,0.19723333381616853,0.19723333381616853,0.19723333381616853,0.0,0.0,0.0,-0.012113271443544474
2021-03-01,-0.007364731646043232,-0.416565269936379,0.32476176596624956,-0.007364731646043232,-0.007364731646043232,0.4998956986504962,0.4998956986504962,0.4998956986504962,0.2524651228172814,0.2524651228172814,0.2524651228172814,0.2474305758332146,0.2474305758332146,0.2474305758332146,0.0,0.0,0.0,-0.011046329317615431
2021-03-02,-0.008159793790683628,-0.37869685302533906,0.3467360240633266,-0.008159793790683628,-0.008159793790683628,-0.3752829697906568,-0.3752829697906568,-0.3752829697906568,-0.6765280658690793,-0.6765280658690793,-0.6765280658690793,0.30124509607842276,0.30124509607842276,0.30124509607842276,0.0,0.0,0.0,-0.005097562144036515
2021-03-03,-0.008954855935324024,-0.4137114177348958,0.365243049141512,-0.008954855935324024,-0.008954855935324024,0.6091532227660282,0.6091532227660282,0.6091532227660282,0.2521519584285902,0.2521519584285902,0.2521519584285902,0.35700126433743806,0.35700126433743806,0.35700126433743806,0.0,0.0,0.0,-0.01440973528773215
